field,type,v_start,v_stop,f_SYSTEM,f_PROJ_INFO_EDIT,f_PROJ_INFO_FIXED,f_USER,f_USER_ROLE,ARMS,DAG,DAG_ASSN,EVENT,FIELDNAME,INSTRUMENT,INSTRUMENT_MAP,LOGGING,METADATA,PROJ_INFO,REPEAT_INSTRUMENT,USER,USER_ROLE,USER_ROLE_ASSN
lastname,C,,,,,,,,,,,,,,,,,,,1,,
expiration,T,,,,,,,,,,,,,,,,,,,1,,
data_access_group,C,,,,,,1,,,,,,,,,,,,,1,,
design,C,,,,,,1,1,,,,,,,,,,,,1,1,
alerts,C,,,,,,1,1,,,,,,,,,,,,1,,
user_rights,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_access_groups,C,,,,,,,1,,,,,,,,,,,,1,1,
reports,C,,,,,,1,1,,,,,,,,,,,,1,1,
stats_and_charts,C,,,,,,1,1,,,,,,,,,,,,1,1,
manage_survey_participants,C,,,,,,1,1,,,,,,,,,,,,1,1,
calendar,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_import_tool,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_comparison_tool,C,,,,,,1,1,,,,,,,,,,,,1,1,
logging,C,,,,,,1,1,,,,,,,,,,,,1,1,
email_logging,C,14.4.0,,,,,1,1,,,,,,,,,,,,1,1,
file_repository,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_quality_create,C,,,,,,1,1,,,,,,,,,,,,1,1,
data_quality_execute,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_export,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_import,C,,,,,,1,1,,,,,,,,,,,,1,1,
api_modules,C,14.0.3,,,,,,,,,,,,,,,,,,1,,
mobile_app,C,,,,,,1,1,,,,,,,,,,,,1,1,
mobile_app_download_data,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_create,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_rename,C,,,,,,1,1,,,,,,,,,,,,1,1,
record_delete,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records_all_forms,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records,C,,,,,,1,1,,,,,,,,,,,,1,1,
lock_records_customization,C,,,,,,1,1,,,,,,,,,,,,1,1,
mycap_participants,C,,,,,,1,,,,,,,,,,,,,1,1,
random_setup,C,,,,,,1,,,,,,,,,,,,,1,1,
random_dashboard,C,,,,,,1,,,,,,,,,,,,,1,1,
random_perform,C,,,,,,1,,,,,,,,,,,,,1,1,
forms,C,,,,,,,,,,,,,,,,,,,1,1,
forms_export,C,,,,,,,,,,,,,,,,,,,1,1,
unique_role_name,C,,,,,,,,,,,,,,,,,,,,1,1
role_label,C,,,,,,,,,,,,,,,,,,,,1,
